loss,mae,rmse,val_loss,val_mae,val_rmse,lr
0.061307892203330994,0.25805485248565674,0.35101383924484253,0.02453566901385784,0.19316072762012482,0.22152051329612732,0.001
0.03382262587547302,0.20103022456169128,0.26008734107017517,0.02464129775762558,0.19284233450889587,0.22199682891368866,0.001
0.03235938400030136,0.1942041963338852,0.25439897179603577,0.024526480585336685,0.1931641399860382,0.22147902846336365,0.001
0.04002363234758377,0.21473056077957153,0.28292688727378845,0.024450229480862617,0.19400563836097717,0.2211344838142395,0.0005
0.042428698390722275,0.2197011560201645,0.29130348563194275,0.024479415267705917,0.19327865540981293,0.22126641869544983,0.0005
0.05380255728960037,0.2576107680797577,0.32803234457969666,0.02439987286925316,0.19355249404907227,0.22090663015842438,0.00025
0.04040748253464699,0.22378158569335938,0.2842797636985779,0.02477327361702919,0.192050039768219,0.22259056568145752,0.00025
0.027412310242652893,0.18087780475616455,0.2341466248035431,0.024560051038861275,0.19275756180286407,0.22163055837154388,0.00025
0.024672752246260643,0.16670940816402435,0.22213876247406006,0.04197283834218979,0.23681852221488953,0.2897338271141052,0.000125
0.022329483181238174,0.1536572426557541,0.21132700145244598,0.04256657883524895,0.23436295986175537,0.2917758524417877,0.000125
